age,annual_income,employment_status,credit_score,loan_amount,debt_to_income_ratio,late_payments_12m,credit_utilization,savings_rate,avg_monthly_transactions,default
25,28297.75,Employed,719,14687.79,0.311,1,0.546,0.254,52,0
59,37396.89,Self-Employed,585,16863.85,0.214,1,0.536,-0.004,14,0
53,56162.28,Employed,709,15233.69,0.31,0,0.775,-0.012,11,0
42,35804.9,Unemployed,686,7655.02,0.505,2,0.153,0.145,29,0
42,42651.46,Employed,578,15465.77,0.476,1,0.159,0.228,50,0
63,61125.19,Employed,699,9056.71,0.434,2,0.392,0.162,59,0
25,41176.12,Employed,694,4802.33,0.494,1,0.374,0.039,24,0
55,54886.89,Self-Employed,695,22220.8,0.295,0,0.429,0.229,43,0
31,108701.86,Employed,691,16058.95,0.174,0,0.584,0.285,41,0
25,44984.38,Employed,631,21060.13,0.326,1,0.344,0.03,18,0
47,88403.68,Employed,724,10714.22,0.338,0,0.627,0.136,22,0
69,64840.46,Employed,628,21502.52,0.451,0,0.23,0.156,33,0
57,23538.18,Retired,599,27262.76,0.427,1,0.288,0.084,16,0
59,28252.34,Employed,731,42293.7,0.502,1,0.156,0.034,73,0
56,32312.26,Employed,750,24060.17,0.048,0,0.0,0.021,19,0
60,31970.94,Employed,725,18599.2,0.23,2,0.015,-0.036,28,0
46,46856.97,Employed,664,6451.51,0.336,3,0.597,0.175,40,0
27,66657.45,Employed,535,13850.61,0.422,0,0.643,0.065,39,0
62,91819.43,Employed,791,6288.03,0.664,2,0.119,0.239,44,0
43,57187.32,Employed,533,9033.31,0.203,1,0.605,0.149,20,0
46,39228.56,Employed,724,47716.62,0.244,1,0.0,0.099,15,0
39,17307.23,Employed,838,7991.87,0.287,0,0.173,0.222,36,0
30,50781.88,Self-Employed,691,3620.78,0.238,0,0.297,0.1,21,0
67,49656.53,Employed,702,24050.23,0.217,1,0.632,0.061,24,0
60,53715.9,Self-Employed,708,9859.19,0.357,3,0.797,0.164,23,0
53,140522.11,Self-Employed,695,23407.33,0.498,0,0.298,0.061,23,0
41,91153.33,Retired,850,7316.75,0.368,1,0.385,0.118,13,0
62,72586.23,Employed,617,11435.2,0.221,0,0.629,0.133,19,0
48,30301.77,Self-Employed,607,30258.39,0.321,0,0.895,0.109,30,1
43,37930.19,Unemployed,655,6679.43,0.194,2,0.661,0.134,52,1
43,46750.38,Retired,811,13338.91,0.497,0,0.134,0.134,65,0
32,33266.18,Unemployed,637,17584.67,0.571,1,0.593,0.118,49,1
25,62958.58,Employed,712,9589.83,0.111,1,0.258,0.061,39,0
48,58597.92,Retired,760,17071.78,0.384,0,0.708,0.02,50,0
65,28448.37,Unemployed,738,14904.06,0.233,0,0.539,0.044,33,0
24,89179.67,Employed,756,20347.75,0.359,0,0.175,0.049,39,0
63,51593.72,Employed,786,44592.33,0.337,0,0.643,0.155,46,0
62,20649.87,Retired,703,73506.31,0.149,1,0.516,0.24,43,1
34,47778.38,Employed,646,19496.64,0.531,1,0.488,0.102,49,0
52,56421.37,Self-Employed,691,13818.5,0.327,1,0.407,0.201,45,0
29,79729.6,Employed,655,19236.24,0.279,0,0.285,0.046,24,0
